file,key,bpm,mood,title,seed,prompt,init_loop,init_path
04_Nocturne_Gmin_m__s75__seed7.wav,Gmin,145,s75,Nocturne,7,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_Gmin_m__s75__seed123.wav,Gmin,145,s75,Nocturne,123,cKz! Nocturne Gmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_C#min_t__s75__seed7.wav,C#min,145,s75,Nocturne,7,cKz! Nocturne C#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
04_Nocturne_C#min_t__s75__seed123.wav,C#min,145,s75,Nocturne,123,cKz! Nocturne C#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Humanity - 145 BPM G Min.wav
05_Voltage_Cmin_m__s75__seed7.wav,Cmin,145,s75,Voltage,7,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
05_Voltage_Cmin_m__s75__seed123.wav,Cmin,145,s75,Voltage,123,cKz! Voltage Cmin 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
05_Voltage_F#min_t__s75__seed7.wav,F#min,145,s75,Voltage,7,cKz! Voltage F#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
05_Voltage_F#min_t__s75__seed123.wav,F#min,145,s75,Voltage,123,cKz! Voltage F#min 145 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Immortal - 145 BPM C Min.wav
06_Solaris_C#min_m__s75__seed7.wav,C#min,120,s75,Solaris,7,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
06_Solaris_C#min_m__s75__seed123.wav,C#min,120,s75,Solaris,123,cKz! Solaris C#min 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
06_Solaris_Gmin_t__s75__seed7.wav,Gmin,120,s75,Solaris,7,cKz! Solaris Gmin 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
06_Solaris_Gmin_t__s75__seed123.wav,Gmin,120,s75,Solaris,123,cKz! Solaris Gmin 120 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Juice - 120 BPM C# Min.wav
07_Velvet_Emin_m__s75__seed7.wav,Emin,142,s75,Velvet,7,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
07_Velvet_Emin_m__s75__seed123.wav,Emin,142,s75,Velvet,123,cKz! Velvet Emin 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
07_Velvet_A#min_t__s75__seed7.wav,A#min,142,s75,Velvet,7,cKz! Velvet A#min 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
07_Velvet_A#min_t__s75__seed123.wav,A#min,142,s75,Velvet,123,cKz! Velvet A#min 142 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Paper - 142 BPM E Min.wav
08_Mirage_Fmin_m__s75__seed7.wav,Fmin,130,s75,Mirage,7,cKz! Mirage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
08_Mirage_Fmin_m__s75__seed123.wav,Fmin,130,s75,Mirage,123,cKz! Mirage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
08_Mirage_Bmin_t__s75__seed7.wav,Bmin,130,s75,Mirage,7,cKz! Mirage Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
08_Mirage_Bmin_t__s75__seed123.wav,Bmin,130,s75,Mirage,123,cKz! Mirage Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Science - 130 BPM F Min.wav
09_Obsidian_F#min_m__s75__seed7.wav,F#min,141,s75,Obsidian,7,cKz! Obsidian F#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
09_Obsidian_F#min_m__s75__seed123.wav,F#min,141,s75,Obsidian,123,cKz! Obsidian F#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
09_Obsidian_Cmin_t__s75__seed7.wav,Cmin,141,s75,Obsidian,7,cKz! Obsidian Cmin 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
09_Obsidian_Cmin_t__s75__seed123.wav,Cmin,141,s75,Obsidian,123,cKz! Obsidian Cmin 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Slime - 141 BPM F# Min.wav
10_Cascade_D#min_m__s75__seed7.wav,D#min,150,s75,Cascade,7,cKz! Cascade D#min 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
10_Cascade_D#min_m__s75__seed123.wav,D#min,150,s75,Cascade,123,cKz! Cascade D#min 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
10_Cascade_Amin_t__s75__seed7.wav,Amin,150,s75,Cascade,7,cKz! Cascade Amin 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
10_Cascade_Amin_t__s75__seed123.wav,Amin,150,s75,Cascade,123,cKz! Cascade Amin 150 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Tragedy - 150 BPM D# Min.wav
11_Wraith_G#min_m__s75__seed7.wav,G#min,84,s75,Wraith,7,cKz! Wraith G#min 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
11_Wraith_G#min_m__s75__seed123.wav,G#min,84,s75,Wraith,123,cKz! Wraith G#min 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
11_Wraith_Dmin_t__s75__seed7.wav,Dmin,84,s75,Wraith,7,cKz! Wraith Dmin 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
11_Wraith_Dmin_t__s75__seed123.wav,Dmin,84,s75,Wraith,123,cKz! Wraith Dmin 84 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Foreign - 84 BPM G# Min.wav
12_Nocturne_Dmin_m__s75__seed7.wav,Dmin,158,s75,Nocturne,7,cKz! Nocturne Dmin 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
12_Nocturne_Dmin_m__s75__seed123.wav,Dmin,158,s75,Nocturne,123,cKz! Nocturne Dmin 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
12_Nocturne_G#min_t__s75__seed7.wav,G#min,158,s75,Nocturne,7,cKz! Nocturne G#min 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
12_Nocturne_G#min_t__s75__seed123.wav,G#min,158,s75,Nocturne,123,cKz! Nocturne G#min 158 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Melee - 158 BPM D Min.wav
13_Voltage_Bmin_m__s75__seed7.wav,Bmin,130,s75,Voltage,7,cKz! Voltage Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav
13_Voltage_Bmin_m__s75__seed123.wav,Bmin,130,s75,Voltage,123,cKz! Voltage Bmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav
13_Voltage_Fmin_t__s75__seed7.wav,Fmin,130,s75,Voltage,7,cKz! Voltage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav
13_Voltage_Fmin_t__s75__seed123.wav,Fmin,130,s75,Voltage,123,cKz! Voltage Fmin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Divine - 130 BPM B Min.wav
14_Solaris_A#min_m__s75__seed7.wav,A#min,143,s75,Solaris,7,cKz! Solaris A#min 143 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav
14_Solaris_A#min_m__s75__seed123.wav,A#min,143,s75,Solaris,123,cKz! Solaris A#min 143 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav
14_Solaris_Emin_t__s75__seed7.wav,Emin,143,s75,Solaris,7,cKz! Solaris Emin 143 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav
14_Solaris_Emin_t__s75__seed123.wav,Emin,143,s75,Solaris,123,cKz! Solaris Emin 143 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Diamonds - 143 BPM A# Min.wav
15_Velvet_Amin_m__s75__seed7.wav,Amin,141,s75,Velvet,7,cKz! Velvet Amin 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav
15_Velvet_Amin_m__s75__seed123.wav,Amin,141,s75,Velvet,123,cKz! Velvet Amin 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav
15_Velvet_D#min_t__s75__seed7.wav,D#min,141,s75,Velvet,7,cKz! Velvet D#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav
15_Velvet_D#min_t__s75__seed123.wav,D#min,141,s75,Velvet,123,cKz! Velvet D#min 141 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Patient - 141 BPM A Min.wav
16_Mirage_Gmin_m__s75__seed7.wav,Gmin,165,s75,Mirage,7,cKz! Mirage Gmin 165 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav
16_Mirage_Gmin_m__s75__seed123.wav,Gmin,165,s75,Mirage,123,cKz! Mirage Gmin 165 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav
16_Mirage_C#min_t__s75__seed7.wav,C#min,165,s75,Mirage,7,cKz! Mirage C#min 165 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav
16_Mirage_C#min_t__s75__seed123.wav,C#min,165,s75,Mirage,123,cKz! Mirage C#min 165 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Faith - 165 BPM G Min.wav
17_Obsidian_Cmin_m__s75__seed7.wav,Cmin,100,s75,Obsidian,7,cKz! Obsidian Cmin 100 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Outlaw - 100 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Outlaw - 100 BPM C Min.wav
17_Obsidian_Cmin_m__s75__seed123.wav,Cmin,100,s75,Obsidian,123,cKz! Obsidian Cmin 100 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Outlaw - 100 BPM C Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Outlaw - 100 BPM C Min.wav
