file,condition,key,bpm,title,seed,prompt,init_loop,init_path
017__noinit__Dmin_135__ICE__seed7.wav,noinit,Dmin,135,ICE,7,2. cKz! ICE Dmin 135 bpm @crushed_keyz,,
018__noinit__Dmin_135__ICE__seed123.wav,noinit,Dmin,135,ICE,123,2. cKz! ICE Dmin 135 bpm @crushed_keyz,,
019__matched__D#min_190__BreakUp_NAV_st__seed7.wav,matched,D#min,190,BreakUp NAV starter,7,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav
020__matched__D#min_190__BreakUp_NAV_st__seed123.wav,matched,D#min,190,BreakUp NAV starter,123,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Cobra - Melodics/Melody Loops/Cymatics - Cobra Melody Loop 13 - 140 BPM D# Min.wav
021__offkey__D#min_190__BreakUp_NAV_st__seed7.wav,offkey,D#min,190,BreakUp NAV starter,7,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_2020_Melody_Collection/Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav
022__offkey__D#min_190__BreakUp_NAV_st__seed123.wav,offkey,D#min,190,BreakUp NAV starter,123,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_2020_Melody_Collection/Cymatics - 2020 Nostalgic Melody Loop 10 - 160 BPM A Min.wav
023__noinit__D#min_190__BreakUp_NAV_st__seed7.wav,noinit,D#min,190,BreakUp NAV starter,7,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,,
024__noinit__D#min_190__BreakUp_NAV_st__seed123.wav,noinit,D#min,190,BreakUp NAV starter,123,8. cKz! BreakUp NAV starter D#min 190 bpm @crushed_keyz @bass._charity,,
025__matched__Emin_140__DreamDoor__seed7.wav,matched,Emin,140,DreamDoor,7,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,Cymatics - Oracle Various Melody Loop 15 - 150 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Various Melody Loop 15 - 150 BPM E Min.wav
026__matched__Emin_140__DreamDoor__seed123.wav,matched,Emin,140,DreamDoor,123,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,Cymatics - Oracle Various Melody Loop 15 - 150 BPM E Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Melodies/Cymatics - Oracle Various Melody Loop 15 - 150 BPM E Min.wav
027__offkey__Emin_140__DreamDoor__seed7.wav,offkey,Emin,140,DreamDoor,7,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
028__offkey__Emin_140__DreamDoor__seed123.wav,offkey,Emin,140,DreamDoor,123,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - The Future - 144 BPM A# Min.wav
029__noinit__Emin_140__DreamDoor__seed7.wav,noinit,Emin,140,DreamDoor,7,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,,
030__noinit__Emin_140__DreamDoor__seed123.wav,noinit,Emin,140,DreamDoor,123,19. cKz! DreamDoor Emin 140 bpm @crushed_keyz x @bass._charity,,
031__matched__Fmin_110__Steppa__seed7.wav,matched,Fmin,110,Steppa,7,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min.wav
032__matched__Fmin_110__Steppa__seed123.wav,matched,Fmin,110,Steppa,123,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 3/Nostalgic/Cymatics - Dragon Nostalgic Loop - Endless - 130 BPM F Min.wav
033__offkey__Fmin_110__Steppa__seed7.wav,offkey,Fmin,110,Steppa,7,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav
034__offkey__Fmin_110__Steppa__seed123.wav,offkey,Fmin,110,Steppa,123,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Dark Loop - Vengeance - 110 BPM B Min.wav
035__noinit__Fmin_110__Steppa__seed7.wav,noinit,Fmin,110,Steppa,7,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,,
036__noinit__Fmin_110__Steppa__seed123.wav,noinit,Fmin,110,Steppa,123,9. cKz! Steppa Fmin 110 bpm @crushed_keyz,,
037__matched__F#min_105__No_tE_VAYAS__seed7.wav,matched,F#min,105,No tE VAYAS,7,1. cKz! No tE VAYAS Fsharpmin 105 bpm @crushed_keyz 1,Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Stems/Cymatics - Oracle Dark Melody Loop 2 - 105 BPM F# Min Bell.wav
