file,key,bpm,mood,title,seed,prompt,init_loop,init_path
ls100__seed7.wav,,,σ0.75/ls100,ls100,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed123.wav,,,σ0.75/ls100,ls100,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed777.wav,,,σ0.75/ls100,ls100,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed1234.wav,,,σ0.75/ls100,ls100,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed42.wav,,,σ0.75/ls100,ls100,42,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed99.wav,,,σ0.75/ls100,ls100,99,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed5.wav,,,σ0.75/ls100,ls100,5,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls100__seed88.wav,,,σ0.75/ls100,ls100,88,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed7.wav,,,σ0.75/ls60,ls60,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed123.wav,,,σ0.75/ls60,ls60,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed777.wav,,,σ0.75/ls60,ls60,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed1234.wav,,,σ0.75/ls60,ls60,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed42.wav,,,σ0.75/ls60,ls60,42,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed99.wav,,,σ0.75/ls60,ls60,99,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed5.wav,,,σ0.75/ls60,ls60,5,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls60__seed88.wav,,,σ0.75/ls60,ls60,88,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed7.wav,,,σ0.75/ls40,ls40,7,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed123.wav,,,σ0.75/ls40,ls40,123,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed777.wav,,,σ0.75/ls40,ls40,777,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed1234.wav,,,σ0.75/ls40,ls40,1234,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed42.wav,,,σ0.75/ls40,ls40,42,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed99.wav,,,σ0.75/ls40,ls40,99,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed5.wav,,,σ0.75/ls40,ls40,5,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
ls40__seed88.wav,,,σ0.75/ls40,ls40,88,cKz! Cascade A#min 146 bpm @crushed_keyz,REFERENCE: 02_Cascade_A#min__s60__seed7.wav,/Users/mikemcgovern/stable-audio-3/sweep_rater/campaigns/init_harvest_floor/02_Cascade_A#min__s60__seed7.wav
