file,key,bpm,mood,title,seed,prompt,init_loop,init_path
0027__A#min_97_oracle__CoSmoS__loop-Cymatics_Oracle_West_Coast__seed777.wav,A#min,97,oracle,CoSmoS,777,cKz! CoSmoS A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0028__A#min_97_oracle__Halo__loop-Cymatics_Oracle_West_Coast__seed7.wav,A#min,97,oracle,Halo,7,cKz! Halo A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0029__A#min_97_oracle__Halo__loop-Cymatics_Oracle_West_Coast__seed123.wav,A#min,97,oracle,Halo,123,cKz! Halo A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0030__A#min_97_oracle__Halo__loop-Cymatics_Oracle_West_Coast__seed777.wav,A#min,97,oracle,Halo,777,cKz! Halo A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0031__A#min_97_oracle__Soulful__loop-Cymatics_Oracle_West_Coast__seed7.wav,A#min,97,oracle,Soulful,7,cKz! Soulful A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0032__A#min_97_oracle__Soulful__loop-Cymatics_Oracle_West_Coast__seed123.wav,A#min,97,oracle,Soulful,123,cKz! Soulful A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0033__A#min_97_oracle__Soulful__loop-Cymatics_Oracle_West_Coast__seed777.wav,A#min,97,oracle,Soulful,777,cKz! Soulful A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0034__A#min_97_oracle__AzUL__loop-Cymatics_Oracle_West_Coast__seed7.wav,A#min,97,oracle,AzUL,7,cKz! AzUL A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0035__A#min_97_oracle__AzUL__loop-Cymatics_Oracle_West_Coast__seed123.wav,A#min,97,oracle,AzUL,123,cKz! AzUL A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0036__A#min_97_oracle__AzUL__loop-Cymatics_Oracle_West_Coast__seed777.wav,A#min,97,oracle,AzUL,777,cKz! AzUL A#min 97 bpm @crushed_keyz,Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics Oracle/Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Stems/Cymatics - Oracle West Coast Melody Loop 2 - 97 BPM A# Min Piano Arp.wav
0037__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed7.wav,A#min,150,various,ICE,7,cKz! ICE A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0038__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed123.wav,A#min,150,various,ICE,123,cKz! ICE A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0039__A#min_150_various__ICE__loop-Cymatics_Dragon_Various_Lo__seed777.wav,A#min,150,various,ICE,777,cKz! ICE A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0040__A#min_150_various__CoSmoS__loop-Cymatics_Dragon_Various_Lo__seed7.wav,A#min,150,various,CoSmoS,7,cKz! CoSmoS A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0041__A#min_150_various__CoSmoS__loop-Cymatics_Dragon_Various_Lo__seed123.wav,A#min,150,various,CoSmoS,123,cKz! CoSmoS A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0042__A#min_150_various__CoSmoS__loop-Cymatics_Dragon_Various_Lo__seed777.wav,A#min,150,various,CoSmoS,777,cKz! CoSmoS A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0043__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed7.wav,A#min,150,various,Halo,7,cKz! Halo A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0044__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed123.wav,A#min,150,various,Halo,123,cKz! Halo A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0045__A#min_150_various__Halo__loop-Cymatics_Dragon_Various_Lo__seed777.wav,A#min,150,various,Halo,777,cKz! Halo A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0046__A#min_150_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed7.wav,A#min,150,various,Crystal,7,cKz! Crystal A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0047__A#min_150_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed123.wav,A#min,150,various,Crystal,123,cKz! Crystal A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0048__A#min_150_various__Crystal__loop-Cymatics_Dragon_Various_Lo__seed777.wav,A#min,150,various,Crystal,777,cKz! Crystal A#min 150 bpm @crushed_keyz,Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics - Dragon Pt. 5/Various/Cymatics - Dragon Various Loop - Do The Most - 150 BPM A# Min.wav
0049__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed7.wav,Amin,130,ethnic,Cry,7,cKz! Cry Amin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav
0050__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed123.wav,Amin,130,ethnic,Cry,123,cKz! Cry Amin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav
0051__Amin_130_ethnic__Cry__loop-Cymatics_Dragon_Platinum_E__seed777.wav,Amin,130,ethnic,Cry,777,cKz! Cry Amin 130 bpm @crushed_keyz,Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav,/Users/mikemcgovern/Documents/SoundSauce/Melody_Loops/Cymatics_Dragon_Platinum_Expansion/Cymatics - Dragon Platinum Ethnic Loop - Secrets - 130 BPM A Min.wav
